Werk	Buchungskreis	Material	Bewegungsart	Menge	Mengeneinheit	Buchungsdatum	Kostenstelle
PLANT_001	1000	000000000050045	201	1500.00	L	20231015	CC_ENG
PLANT_002	1000	000000000050046	201	2300.00	KG	16.10.2023	CC_FAC
PLANT_003	2000	GAS-001	261	850.000	M3	20231017	CC_OPS
PLANT_001	1000	000000000050045	201	120.50	GAL	20231018	CC_ENG
PLANT_002	1000	000000000050046	101	12000.00	KG	20231019	CC_PROC
PLANT_003	2000	GAS-001	501	9500.00	M3	20231020	CC_PROC
PLANT_001	1000	000000000050045	261	1400.00	L	20231021	CC_ENG
PLANT_002	1000	000000000050046	201	2100.00	KG	20231022	CC_FAC
PLANT_003	2000	GAS-001	261	780.000	M3	20231023	CC_OPS
PLANT_001	1000	000000000050045	201	1650.00	L	20231024	CC_ENG
PLANT_002	1000	000000000050046	261	2200.00	KG	25.10.2023	CC_FAC
PLANT_003	2000	GAS-001	201	820.000	M3	20231026	CC_OPS
PLANT_001	1000	000000000050045	101	5000.00	L	20231027	CC_PROC
PLANT_002	1000	000000000050046	501	6000.00	KG	20231028	CC_PROC
PLANT_003	2000	GAS-001	261	900.000	M3	20231029	CC_OPS
PLANT_001	1000	000000000050045	201	1550.00	L	20231030	CC_ENG
PLANT_002	1000	000000000050046	201	2400.00	KG	20231031	CC_FAC
PLANT_003	2000	GAS-001	201	880.000	M3	20231101	CC_OPS
PLANT_001	1000	000000000050045	261	1300.00	XYZ	20231102	CC_ENG
PLANT_002	1000	000000000050046	201	2050.00	KG	20231103	CC_FAC
PLANT_003	2000	GAS-001	261	750.000	M3	20231104	CC_OPS
PLANT_001	1000	000000000050045	201	1700.00	L	20231105	CC_ENG
PLANT_002	1000	000000000050046	261	2150.00	KG	20231106	CC_FAC
PLANT_003	2000	GAS-001	201	840.000	M3	20231107	CC_OPS
PLANT_001	1000	000000000050045	201	1450.00	L	08.11.2023	CC_ENG
PLANT_002	1000	000000000050046	201	2250.00	KG	20231109	CC_FAC
PLANT_003	2000	GAS-001	261	800.000	M3	20231110	CC_OPS
PLANT_001	1000	000000000050045	101	4500.00	L	20231111	CC_PROC
PLANT_002	1000	000000000050046	501	5500.00	KG	20231112	CC_PROC
PLANT_003	2000	GAS-001	261	870.000	M3	20231113	CC_OPS
PLANT_001	1000	000000000050045	201	1600.00	L	20231114	CC_ENG
PLANT_002	1000	000000000050046	201	2350.00	KG	20231115	CC_FAC
PLANT_003	2000	GAS-001	201	860.000	M3	20231116	CC_OPS
PLANT_001	1000	000000000050045	261	1350.00	L	20231117	CC_ENG
PLANT_002	1000	000000000050046	201	2180.00	FOO	20231118	CC_FAC
PLANT_003	2000	GAS-001	261	790.000	M3	20231119	CC_OPS
PLANT_001	1000	000000000050045	201	1800.00	L	20231120	CC_ENG
PLANT_002	1000	000000000050046	261	2280.00	KG	20231121	CC_FAC
PLANT_003	2000	GAS-001	201	810.000	M3	20231122	CC_OPS
PLANT_001	1000	000000000050045	101	4000.00	L	20231123	CC_PROC
PLANT_002	1000	000000000050046	501	5000.00	KG	20231124	CC_PROC
PLANT_003	2000	GAS-001	261	890.000	M3	20231125	CC_OPS
PLANT_001	1000	000000000050045	201	1520.00	L	20231126	CC_ENG
PLANT_002	1000	000000000050046	201	2450.00	KG	20231127	CC_FAC
PLANT_003	2000	GAS-001	201	830.000	M3	20231128	CC_OPS
PLANT_001	1000	000000000050045	261	1280.00	L	20231129	CC_ENG
PLANT_002	1000	000000000050046	201	2080.00	KG	30.11.2023	CC_FAC
PLANT_003	2000	GAS-001	261	760.000	M3	20231201	CC_OPS
PLANT_001	1000	000000000050045	201	1620.00	L	20231202	CC_ENG
PLANT_002	1000	000000000050046	201	999.00	KG	20291231	CC_FAC
