Account Number,Meter ID,Service Address,Read Date From,Read Date To,Usage (kWh),Demand (kW),Rate Schedule,Charges ($)
ACC-001,MTR-1042,123 Factory Rd,2023-05-01,2023-05-31,45000,120,GS-2,4500.00
ACC-001,MTR-1042,123 Factory Rd,2023-06-01,2023-06-30,48000,125,GS-2,4800.00
ACC-001,MTR-1042,123 Factory Rd,2023-07-01,2023-07-31,52000,130,GS-2,5200.00
ACC-001,MTR-1042,123 Factory Rd,2023-08-01,2023-08-31,51000,128,GS-2,5100.00
ACC-001,MTR-1042,123 Factory Rd,2023-09-01,2023-09-30,49000,126,GS-2,4900.00
ACC-001,MTR-1042,123 Factory Rd,2023-10-01,2023-10-31,46000,121,GS-2,4600.00
ACC-001,MTR-1043,123 Factory Rd,2023-05-15,2023-06-14,12.5,25,GS-2,1250.00
ACC-001,MTR-1043,123 Factory Rd,2023-06-15,2023-07-14,14.0,28,GS-2,1400.00
ACC-001,MTR-1043,123 Factory Rd,2023-07-15,2023-08-14,15.5,30,GS-2,1550.00
ACC-001,MTR-1043,123 Factory Rd,2023-08-15,2023-09-14,15.0,29,GS-2,1500.00
ACC-001,MTR-1043,123 Factory Rd,2023-09-15,2023-10-14,13.8,27,GS-2,1380.00
ACC-001,MTR-1043,123 Factory Rd,2023-10-15,2023-11-14,12.0,24,GS-2,1200.00
ACC-002,MTR-2045,456 Warehouse Blvd,2023-05-01,2023-05-31,25000,75,GS-1,2700.00
ACC-002,MTR-2045,456 Warehouse Blvd,2023-06-01,2023-06-30,27000,78,GS-1,2900.00
ACC-002,MTR-2045,456 Warehouse Blvd,2023-07-01,2023-07-31,0,0,GS-1,150.00
ACC-002,MTR-2045,456 Warehouse Blvd,2023-08-01,2023-08-31,29000,82,GS-1,3100.00
ACC-002,MTR-2045,456 Warehouse Blvd,2023-09-01,2023-09-30,28000,80,GS-1,3000.00
ACC-002,MTR-2045,456 Warehouse Blvd,2023-10-01,2023-10-31,26000,76,GS-1,2800.00
ACC-001,MTR-1042,123 Factory Rd,2023-09-15,2023-10-15,35000,110,GS-2,3500.00
ACC-002,MTR-2045,456 Warehouse Blvd,2023-10-15,2023-11-15,28.5,80,GS-1,3100.00
